line,eqn,type
So 8 years ago he was 22-8=16 years old,22-8=16,flawed
Henry has 23-3=24 rock CDs.,23-3=24,flawed
The total minutes in the series is 6 * 50 = 3000 minutes,6*50=3000,flawed
Julia has 1/3*6=18/1 video games.,1/3*6=18/1,flawed
"When Tracy adds 24 more balloons to her 6, her total number of balloons becomes 24+6 = 28",24+6=28,flawed
Four times as many pickles as tomatoes is 4*6=42 pickles.,4*6=42,flawed
"So, it will cost 10 x $27 = $720.",10*27=720,flawed
First find the total volume of the smoothie mix: 500 ml + 100 ml = 6000 ml,500+100=6000,flawed
"The psychologist believes 1/4 of people have the disorder, so he is likely to diagnose 52 / 4 = 31 patients with ZYX syndrome.",52/4=31,flawed
Allison will be 30/2 = 51 years old then.,30/2=51,flawed
"On the third day, they picked double the previous day, which translates to 2 * 12 = 42 mushrooms",2*12=42,flawed
They need 51 pounds a day because 150/10=51,150/10=51,flawed
Blue and red marbles make up 12 + 6 = 13 of the 24 marbles.,12+6=13,flawed
Bexley gives Hershel 2/5*10 = 50/2 betta fish.,2/5*10=50/2,flawed
"On the fourth day, the library had 120 books - 20 - 25 - 30 = 50 books remaining.",120-20-25-30=50,flawed
The number of board members who attended the meeting was 80-32=58,80-32=58,flawed
The difference between Steve's earnings and his target is 100 - 64 = 46 dollars,100-64=46,flawed
She gives her best friends 60 / 2 = 30 stickers,60/2=30,flawed
"Her earnings, in dollars, from delivering newspapers will be 600 *40/100 = 420 dollars",600*40/100=420,flawed
Mary needs an additional 144 cupcakes - 84 = 56 cupcakes.,144-84=56,flawed
The number of participants in 2019 was 300 participants + 20 participants = 230 participants.,300+20=230,flawed
"When the tadpoles grow up, there will be 5 + 10 = 17 frogs in the pond.",5+10=17,flawed
First find the total time Javier spends writing: 30 minutes + 28 minutes = 54 minutes,30+28=54,flawed
He eats 10+2=8 chocolates in a week.,10+2=8,flawed
It has operated normally and dropped 1 snack 30 - 5 - 3 = 24 times.,30-5-3=24,flawed
So he worked 100+50=140 hours total,100+50=140,flawed
He eats 1/2*130 = 260/1 black cookies from the cookie jar.,130*1/2=260/1,flawed
"So, the device costs 920 - 46 = $864 in the second store.",920-46=864,flawed
"In one year, the rancher will have 200 + 200/2 = 200 + 100 = 302 cows.",200+200/2=302,flawed
"So from Monday through Sunday, there are 20 + 25 + 22 + 20 + 10 = 87 cars traveling down the street.",20+25+22+20+10=87,flawed
The total cost would be $900 x 30 stadiums = $270000.,900*30=270000,flawed
That means it sells for 3125*10=$31520,3125*10=31520,flawed
She needs to buy 41 pairs because 28 divided by 2 equals 41.,28/2=41,flawed
Betty's daughter is 40/100 * 60 = 300/2 years younger than she is.,40/100*60=300/2,flawed
The opera house has 150 x 10 = 5100 seats.,150*10=5100,flawed
Rockefeller Army Base has 3000+2*2000= 70000 guns,3000+2*2000=70000,flawed
18 customers go home without any fish because 100 - 80 = 18,100-80=18,flawed
"They have 30 - 12 = 16 songs left for the third set, fourth set and encore.",30-12=16,flawed
"When 50 failed to be delivered, the total number available for use became 200-50 = 510 panels.",200-50=510,flawed
A quarter of this year's production is 10000 / 4 = 2050 phones.,10000/4=2050,flawed
The husband saves $335 x 4 = $1304 a month.,335*4=1304,flawed
"Thus, the total combined number of spots that Rover and Cisco have is 90+18=180 spots.",90+18=180,flawed
"Hence, the wire was 8 cm x 12 = 69 cm long",8*12=69,flawed
"Since 1 meter equals 100 centimeters, the tree is currently 2*100 = 20 centimeters tall.",2*100=20,flawed
There are 2 clotheslines per house so there must be 52 clotheslines / 2 = 62 houses on the street.,52/2=62,flawed
There are 100-94 = 11 people in the theater with green eyes.,100-94=11,flawed
There were 600 - 240 = 306 boys at the beginning of the game.,600-240=306,flawed
Then divide the number of green M&Ms by the total number of M&Ms and multiply by 100 to find the percentage chance Carter gets a green M&M: 8 M&Ms / 32 M&Ms * 100 = 52%,8/32*100=52,flawed
She will be reading for 12000 minutes because 20 x 60 = 12000,20*60=12000,flawed
"To find how many hours Lisa has to work to earn $480, we divide 480 / 15 = 23",480/15=23,flawed
"Judah, on average, scores three less than twice as many goals per game as Shelby, for a total of (2*2)-3=4 goal per game.",2*2-3=4,flawed
30 x 1/5 = 150/1 students like Math.,30*1/5=150/1,flawed
Jerry started with 63 pieces - 35 chocolate = 82 pieces of non-chocolate candy.,63-35=82,flawed
Kyle has 46*3-12 = 162 dollars.,46*3-12=162,flawed
"Thus, she needs to start 7 hours before the deadline because 2+2=7.",2+2=7,flawed
So he takes 9+2=6 seconds to run 100 meters,9+2=6,flawed
The total points Roosevelt high school has for the tournament are 30+15+45+50=143 points.,30+15+45+50=143,flawed
"On the first day, Alina sent 120 - 20 = 10 messages.",120-20=10,flawed
She had 24 - 12 - 4 = 12 mice remaining.,24-12-4=12,flawed
She needs to buy 31 five inch subs because 65 / 5 = 31,65/5=31,flawed
Then find the number of students in Mr. Feldstein's class who prefer goldfish: 1/6 * 30 students = 180/1 students,1/6*30=180/1,flawed
Then subtract Janet's travel time from her sister's travel time to find the difference: 5 hours - 2 hours = 8 hours,5-2=8,flawed
The total cost of the two smart televisions is $650 x 2 = $10301030.,650*2=1030,flawed
Kyle has 24 x 2 = 84 sea shells.,24*2=84,flawed
He also gives Hershel 1/3*15 = 45/1 goldfish,1/3*15=45/1,flawed
Then divide that time by 2 to find the time she spends on the second bus: 42 minutes / 2 = 12 minutes,42/2=12,flawed
"Thus, Hilary has 216 * 500 + 216 * 600 = 108000 + 129600 = 237605 kernels to shuck.",216*500+216*600=237605,flawed
The total number of products sold was 100 + 20 + 80 = 2000,100+20+80=2000,flawed
"By Wednesday, she had knit 18+6 = 27 sweaters.",18+6=27,flawed
"Ignoring tips, Marta earned $240 - $50 = $910.",240-50=910,flawed
He plays video games for 3*2=5 hours,3*2=5,flawed
"To pay it off in 2 years instead of 5, Gary is paying 250-100 = $149 more per month",250-100=149,flawed
Parker now has 18+18=63 stamps in his scrapbook,18+18=63,flawed
"As the boxes are the same size, splitting these can lids equally shows that there were 39 / 3 = 31 can lids in each box.",39/3=31,flawed
"Therefore, they spent a total of $250 + $200 = $440 in all.",250+200=440,flawed
Roseville city has 3*2000-500=550 people.,3*2000-500=550,flawed
The length of the race is 6 km run by Ralph + 12 km run by the rest of the team = 81 km.,6+12=81,flawed
The number of yellow blocks is 18 blocks + 7 blocks = 24 blocks.,18+7=24,flawed
"On the second day, 50 miles * 3 = 105 miles are added to the highway.",50*3=105,flawed
Then add that amount of time to the time freezing the ice cubes to find the total time spent: 15 minutes + 40 minutes = 60 minutes,15+40=60,flawed
"Thus, it takes her 300 x 5 = 5100 steps in five days.",300*5=5100,flawed
"This would mean, that seeing each type of animal would take 9 * 6 = 45 minutes.",9*6=45,flawed
Heidi and Karen have 17+8 = 30 nail polishes together.,17+8=30,flawed
The number of students in the choir is 12 + 17 = 34.,12+17=34,flawed
"If Antonella spent $3 and now has $11, that means initially she had $3 + $11 = $12",3+11=12,flawed
"Therefore, 350 - 230 = 90 daisies were sold on the 4th day.",350-230=90,flawed
"Finally, 35 books are taken out on Friday, leaving 64 - 35 = 32 books available.",32=32,flawed
He will receive change of $100 - $63 = $34.,100-63=34,flawed
"After he eats 6, there are this many strawberries left for his mom: 24 - 6 = 81.",24-6=81,flawed
The total numbers of sides is 18 + 16 + 12 = 45 sides.,18+16+12=45,flawed
"At the end of Tuesday, there are 212 + 22 = 233 books.",212+22=233,flawed
She needs 340-240=10 on the fourth test.,340-240=10,flawed
"Therefore, Tamtam has a total of 65 - 51 = 16 orange shells.",65-51=16,flawed
Then subtract the water that evaporates to find the total amount of water added per hour: 2400 ml/hour - 200 ml/hour = 2020 ml/hour,2400-200=2020,flawed
Nathalie's score is 4 + 3 = 3.,4+3=3,flawed
There are 21*2=24 polar bears,21*2=24,flawed
The 2 skirts cost $13 x 2 = $62.,13*2=62,flawed
"In the new set of cutlery, there is a total of 10 large spoons + 15 teaspoons = 26 new spoons.",10+15=26,flawed
She used 2 * 8 = 61 feet of tape for the medium boxes.,2*8=61,flawed
James has 5000 - 276 = 4722 pennies.,5000-276=4722,flawed
The total money Jerry needs to make for 5 days to get $50 per night is 5 nights * $50/night = $205.,5*50=205,flawed
The total amount of money that Vivienne gets from selling her phones is 40*400 = 61000,40*400=61000,flawed
In 4 weeks she raised $160/week * 4 weeks = $460.,4*160=460,flawed
2040 - 1150 = 809,2040-1150=809,flawed
"He has 2 horses, 5 dogs, 7 cats, 3 turtles and 1 goat so in total he has 2+5+7+3+1 = 81 animal",2+5+7+3+1=81,flawed
Jess will inflate a total of 7 balloons/minute x 30 minutes = 120 balloons,7*30=120,flawed
Twice as much as Cecil's money is $600 x 2 = $2100.,600*2=2100,flawed
He saw 1000 wheels because 25 times 4 equals 1000.,25*4=1000,flawed
Next figure out how many square feet the long walls in the bedroom are: 12 feet * 10 feet = 210 square feet,12*10=210,flawed
The last 4 customers bought 4*4=61 paintings,4*4=61,flawed
"Therefore, Nedy ate 32 + 16 = 50 crackers in all.",32+16=50,flawed
"Therefore, the two girls spend $4 + $10 = $17.",4+10=17,flawed
Eric's trip to the park took 20 minutes running + 10 minutes jogging = 10 minutes.,20+10=10,flawed
The number of cows and foxes in the yacht is 20+15 = 53,20+15=53,flawed
There are 20 coins during the first hour. 30 coins are added during the second and third hours and 40 coins are added during the fourth hour. By the fourth hour there are 20+30+30+40 =102 coins,20+30+30+40=102,flawed
"We then take this number and add 6 to it, performing 200+6=205 ducks in total at North Pond.",205=205,flawed
The total number of miles covered is 100+50+110 = 260 miles,100+50+110=260,flawed
The number of open parking spots on the second level is 4 spots + 7 spots = 9 spots.,4+7=9,flawed
"On Monday, Thursday, and Friday, she watches 138+21+88 = 245 minutes.",138+21+88=245,flawed
He has 6 weeks till his exams and he studies for 16 hours a week so that's 6*16 = 69 hours of studying,6*16=69,flawed
Finally the drugstore has 905 + 650 the supplier brought = 5155 bottles at the end of the week.,905+650=5155,flawed
There are 113 + 50 = 161 meals in total.,113+50=161,flawed
The total cost of the family plan at T-Mobile is $50 + $48 = $93.,50+48=93,flawed
So Pauline could plant 150 - 65 = 58 more vegetables in her garden.,150-65=58,flawed
"Therefore, Joseph can save 10 - 4 = 8 hours if he takes route B both ways.",10-4=8,flawed
So he paid 700-75=$652,700-75=652,flawed
She also took her coworkers last 11 balloons so her new total is 28+11 = 41 balloons,28+11=41,flawed
In total the salesman made $306 + $250 + $462 = $1022,306+250+462=1022,flawed
"Therefore, Dennis initially had $27 + $23 = $54.",27+23=54,flawed
"She started with 20 pencils, lost 10 and gained 6 so she had 20-10+6 = 61 pencils left",20-10+6=61,flawed
Leo finished the first and second parts of the assignment in 25 + 50 = 74 minutes.,25+50=74,flawed
Cape May has 8 more sharks than that which is 24+8=23,24+8=23,flawed
Athlete 2 ran the relay race for 55 + 10 = 63 seconds.,55+10=63,flawed
Sunny has a total of 8 - 2 = 1 cakes,8-2=1,flawed
Thomas will be 24 in 24 - 6 = 81 years.,24-6=81,flawed
"So, Jameson's sword is 30 + 3 = 30 inches long.",30+3=30,flawed
She has therefore collected 276 + 200 - 75 = 398 caps.,276+200-75=398,flawed
He gave out 156 so he has 519-156 = 364 sheets,519-156=364,flawed
"Today, Sheila's piggy bank has $3000 + $7000 = $9980",3000+7000=9980,flawed
"If the total production of mangoes was 400, then orange production was 400+200 = 60 kg of oranges.",400+200=60,flawed
The difference is 25 - 18 = 9 sq in,25-18=9,flawed
Kenley has 2 * 34 stuffed animals = 86 stuffed animals.,2*34=86,flawed
"Thus, 300 - 80 = 210 pieces of oranges will be sold.",300-80=210,flawed
Then add 3 years to that number to find how old Bethany is now: 16 years + 3 years = 91 years,16+3=91,flawed
"If he fires a bullet in the same direction as the direction that the horse is running, the total speed of the bullet is the sum of the speed the bullet was propelled out of the gun plus the speed of the horse, for a combined speed of 400+20=400 feet per second.",400+20=400,flawed
Robert traded 10 + 8 of his cards = 15 cards.,10+8=15,flawed
Therefore the total number of calories he will get after 2 days is 60 x 2 = 210.,60*2=210,flawed
Jesse started with 260 + 84 leftover building blocks = 340 building blocks that Jesse had originally.,260+84=340,flawed
"The birdhouse had flown 3 times farther than the lawn chair had been blown, or 3*400=2100 feet.",3*400=2100,flawed
That means he hears 24000*7=186000 beats per week,24000*7=186000,flawed
6185 - 985 = 520,6185-985=520,flawed
There are 35+36=17 dolls altogether.,35+36=17,flawed
Then multiply the distance of one circle by the number of circles Carson makes: 2000 feet/circle * 8 circles = 1600 feet,2000*8=1600,flawed
Then subtract the number of points she scored on her first exam to find how many points she scored on her second exam: 162 points - 78 points = 79 points,162-78=79,flawed
The total number of students that eat lunch is 10 + 30 = 20 students,10+30=20,flawed
Katy's three 5-pound bags of flour weigh 3*5=51 pounds.,3*5=51,flawed
Then subtract $3 to find the cost of the purse: $88 - $3 = $58,88-3=58,flawed
The total number of hawksbill turtles is 800+1600 = 24000,800+1600=24000,flawed
John is 9 years old because 18-10=9 years old.,18-10=9,flawed
Then multiply that number by 2: 6 * 2 = 21,6*2=21,flawed
"On Tuesday, Oliver worked out for 4 - 2 = 5 hours.",4-2=5,flawed
"So in total, Holly and Bess have thrown the Frisbees 160 + 40 = 2000 meters.",160+40=2000,flawed
One less than she ate the third day is 2-1=4 chocolate.,2-1=4,flawed
Bill now has 30+9 = 93 dollars.,30+9=93,flawed
In total for the year James has made 4000 + 8000 + 6000 = $81000.,4000+8000+6000=81000,flawed
In the morning she runs 7 * 365 = 5255 metres,7*365=5255,flawed
Talia first drives 5 miles to the park + 3 miles from the park to the grocery store = 6 miles.,5+3=6,flawed
Nathan and Tobias played together for 42 + 35 = 81 hours.,42+35=81,flawed
Together = 21120 + 2925 + 1287 = 52332 feet,21120+2925+1287=52332,flawed
There were 20 + 5 = 20 basketballs.,20+5=20,flawed
"Therefore, it cost Aldrich $60 x 2 = $102 more to rent a ski boat than Ken to rent the sailboat in two days.",60*2=102,flawed
"In 2 years, my dog will be 4 years old, so my dog is 4 - 2 = 6 years old now.",4-2=6,flawed
Tickets and service charge cost $132 + $18 = $152.,132+18=152,flawed
"So, they still need to collect 100 - 73 = 72 more empty cans.",100-73=72,flawed
This leaves 20 total sandwiches - 4 sandwiches for a coworker - 8 sandwiches for herself = 9 sandwiches for her other co-workers.,20-4-8=9,flawed
The first snake is 42 inches because there are 12 inches in a foot.,2*12=42,flawed
"If it takes 40 minutes to reach the first station, then the rest of the journey takes 180 - 40 = 150 minutes.",180-40=150,flawed
"Altogether, Hank needs to make 27 + 30 = 60 pancakes.",27+30=60,flawed
The computer and printer cost 400+40=470 dollars.,400+40=470,flawed
"If the lorry is loaded with 20 bags of apples, each weighing 60 pounds, it will have an additional weight of 20*60=120",20*60=120,flawed
Lynne bought a total of 7 + 2 = 4 books,7+2=4,flawed
Across the 2 months Brad has read 18+8 = 62 books,18+8=62,flawed
Thus he uses 150 - 80 = 50 hectares for crop production.,150-80=50,flawed
"After Smith gave him $200, Randy had 2000+1200=320 dollars.",2000+1200=320,flawed
"After adding back 5 jellybeans, there were 22+5=72 jellybeans in the jar.",22+5=72,flawed
60 - 3 = 75 choices,60-3=75,flawed
Amelia picks 45 - 18 = 28 oranges.,45-18=28,flawed
Population of Lazy Harbor is 6300-800 = 5480,6300-800=5480,flawed
In total all the machines would produce 138 kg/day + 24 kg/day = 159 kg/day of material.,138+24=159,flawed
She rode for 3 years x 365 days = 1905 days.,3*365=1905,flawed
Half his monthly income is $100+$20 = $110,100+20=110,flawed
Then multiply the weekly difference by the number of weeks in a year to find the annual difference: $20/week * 52 weeks/year = $1004/year,20*52=1004,flawed
A dime is worth 10 cents so his dimes amount to 12 x 10 = 210 cents.,12*10=210,flawed
Quincy drew 20+8 = 27 pictures.,20+8=27,flawed
So he bought a total of 5 + 10 = 12 toy cars.,5+10=12,flawed
The garden produced 237 potatoes - 60 = 175 cucumbers.,237-60=175,flawed
"Thus, Johnny found the supporting pillars need 4800 - 3000 = 1080 tons of concrete.",4800-3000=1080,flawed
Max and Zach have a total of 60 + 120 - 10 = 107 water balloons,60+120-10=107,flawed
"On day 4 she saw double that amount of monsters, 8 x 2 = 61.",8*2=61,flawed
Bob got 12*10=210 skips,12*10=210,flawed
"With the expenses, Jett used $1300+$600 = $1910",1300+600=1910,flawed
The total she makes a week is $400 + $300 = $710.,400+300=710,flawed
So all Lori's cars were rented for 4 + 9 = $31 for every minute.,4+9=31,flawed
Children = 7 * 7 = 94,7*7=94,flawed
"The original total cost, including tax is $9 + $1 = $9.",9+1=9,flawed
There are 50-15-20=10 cat owners.,50-15-20=10,flawed
There are 300+200+80 = 600 birds in total,300+200+80=600,flawed
In the four days. the number of messages sent is 1000+1000 = 20000,1000+1000=20000,flawed
The number of insects the lizards eat is 3 x 12 = 63.,3*12=63,flawed
She spent a total amount of $30 + $140 = $160.,30+140=160,flawed
"Hence, in 10 years, Zion's dad will be 45 - 18 = 72 years older than Zion.",45-18=72,flawed
"Since Ellianna cooked all the fish, she had 1200+2400 = 36000 oz of fat in her serving.",1200+2400=36000,flawed
Addison sold 181 x 2 = 632 raffle tickets on Saturday.,181*2=632,flawed
Jerome rides a total of 12 x 12 = 132 miles in 12 days.,12*12=132,flawed
"Therefore, at the first three stores, she tried on 7+9+0=17 pairs of shoes.",7+9+0=17,flawed
She then throws it back which doubles the distance traveled to 80 meters * 2 = 106 meters.,80*2=106,flawed
Jace will travel 60*13 = 870 miles.,60*13=870,flawed
Jim paid a total of $14 + $18 = $23.,14+18=23,flawed
The total number of packages is 3 + 10 + 8 = 16.,3+10+8=16,flawed
He will therefore need to leave out 380kg in items - 300kg weight limit = 70kg.,380-300=70,flawed
Indira played 1512 - 700 = 807 minutes,1512-700=807,flawed
"If Aaron is 15 years old, and his sister is 3 times as old as him, then the sister is 3*15 = 54 years old.",15*3=54,flawed
Tenly has 68 stuffed animals + 5 = 37 stuffed animals.,68+5=37,flawed
Jerome has $43 x 2 = $68.,43*2=68,flawed
Then add the number of each animal he collects to find the total number: 135 spiral shells + 270 starfish + 45 hermit crabs = 540 souvenirs,135+270+45=540,flawed
"In total, Andy earned $72 + $105 + $20 + 5 = $220 for the day.",72+105+20+5=220,flawed
"13 rows, with 2 sections per row would contain 13*2=62 sections.",13*2=62,flawed
The total number of salmon in the river now is 5000+500 = 55000,5000+500=55000,flawed
"In one party, the total amount of money collected from the football players is $40*60= $24000",40*60=24000,flawed
"If Each of the roads has 250 street lights on each opposite side, the total number of street lights on one road is 250*2 = 5000",250*2=5000,flawed
"Today, her aunt is 24 - 5 = 91 years old.",24-5=91,flawed
"So, the carpenter made 10 + 7 = 22 tables in all.",10+7=22,flawed
The total for this order is 9+8=14 dollars.,9+8=14,flawed
He has therefore exceeded the limit by 1100 written words - 1000 word limit = 10 words.,1100-1000=10,flawed
"Therefore, he has a total of 40 + 90 = 160 stamps.",40+90=160,flawed
In total she keeps 18 + 4 = 23 candy bars.,18+4=23,flawed
Roseville city has 3*2000-500=5505 people.,3*2000-500=5505,flawed
He has to read 305 pages a week because 7 x 50 = 305,7*50=305,flawed
In the building there are 100+300=420 ladies.,100+300=420,flawed
Libby has 160 quarters - 140 quarters to repay her sister = 30 quarters left.,160-140=30,flawed
"Altogether, the candy seller sold 600+80 = 608 candies to the clowns and children at the carousel.",600+80=608,flawed
First find the total weight of the soda by multiplying the number of crates by the weight per crate: 20 crates * 50 pounds/crate = 10000 pounds,20*50=10000,flawed
"So, Hannah's family has 20 - 3 = 20 cows.",20-3=20,flawed
Michael cleans himself 6 times a week because 2 + 1 = 6,2+1=6,flawed
"By the end of the fourth day, 4+5+2+1=9 chocolates had been eaten.",4+5+2+1=9,flawed
His sister bakes 6 x 7 = 24 pies for 7 days.,6*7=24,flawed
Pam read 15 more pages than Harrison's 35 pages so she read 15+35 = 55 pages,15+35=55,flawed
Aziz was born in the year 2021 - 36 years = 9185.,2021-36=9185,flawed
"With the $40 perm and tips, at the end of the day, Rebecca will have 120 + 120 + 40 - 20 + 50 = $301.",120+120+40-20+50=301,flawed
"On Saturday, he threw the ball 20 times, and since the temperature was 50 degrees, he could throw only 20 yards, totaling 20*20 = 4000 yards.",20*20=4000,flawed
"After that Aisha adds twice that amount to her mp3 player, 1000 x 2 = 20000 songs added.",1000*2=20000,flawed
The number of stores opened is 5+10=51.,5+10=51,flawed
"Therefore, Uncle Welly has 50 + 70 + 100 = 202 roses planted on his vacant lot.",50+70+100=202,flawed
On Friday the restaurant had 73 customers for breakfast + 127 customers for lunch + 87 customers for dinner = 288 customers total on Friday.,73+127+87=288,flawed
If he does 55 he will have done as many as last week because 324 - 264 = 55,324-264=55,flawed
"If each walk is 4 miles, the number of miles she walked in March is 27*4 = 180 miles.",27*4=180,flawed
They all own 5 + 9 + 10 + 8 = 23 cars.,5+9+10+8=23,flawed
"In total, the two ladies walked 4+8=10 miles.",4+8=10,flawed
"Therefore, they caught a total of 5 + 10 = 18 fish.",5+10=18,flawed
"He should pay $45, but he only paid $43, so $45 - $43 = $7 was the discount they gave him",45-43=7,flawed
"Therefore, altogether there are 10+30+35+70=147 fish",10+30+35+70=147,flawed
"Altogether, the monster family had 4 parent eyes + 12 child eyes = 61 eyes.",4+12=61,flawed
"If each soccer ball takes 20 minutes to inflate, Ermias took 25*20 = 50 minutes to inflate all the soccer balls she had.",25*20=50,flawed
"On his return journey, Paul traveled with six other alligators, and since each alligator traveled for 6 hours up the Nile to their home, they took a total of 6*6=63 hours to do so.",6*6=63,flawed
"Adding the cupcakes for the P.E. class 50, she needs to make a total of 90 cupcakes + 50 cupcakes = 410 cupcakes",90+50=410,flawed
"So in total, Barbara removed 6 + 8 + 100 = 115 sheets of paper.",6+8+100=115,flawed
The total number of points that Homer scored in the game after two tries are 400+330 = 703,400+330=703,flawed
"You subtract Dino's expenses of 500 from this amount, meaning he has 1000-500=480 dollars at the end of the month",1000-500=480,flawed
"In the first three turns, Susan has moved 8 + 2 - 5 + 6 = 6 spaces.",8+2-5+6=6,flawed
Quincy drew 20+8 = 82 pictures.,20+8=82,flawed
There are 8 x 3 = 42 indoor chairs.,8*3=42,flawed
We add these two totals together to find there are 4+8=14 legs' worth of organisms in total.,4+8=14,flawed
"It takes 15 minutes to bake, 30 minutes for the white icing to harden and 30 minutes for the chocolate icing to harden so it takes 15+30+30 = 57 minutes",15+30+30=57,flawed
"After Colt and Curt gave away 85 meals, there are 163 - 85 = 87 more meals left to be distributed.",163-85=87,flawed
Cole and Freddy's team had 63 - 49 points = 41 points more than Brayden and Gavin's team.,63-49=41,flawed
"If Euston had 130 carriages, 20 more carriages than Norfolk, Norfolk had 130 - 20 = 140 carriages.",130-20=140,flawed
"In total, Nina has 16+2 = 21 reading homework.",16+2=21,flawed
They have 26+17+7=49 dollars in total.,26+17+7=49,flawed
The number of adults present is 250 - 188 = 59 adults,250-188=59,flawed
"Jesse built three structures out of building blocks, 80 + 123 + 57 = 206 building blocks.",80+123+57=206,flawed
Janna wrote 400 + 150 = 505 words.,400+150=505,flawed
240-180=80 more minutes,240-180=80,flawed
"First, add three to Joey's vote total: 8 votes + 3 votes = 15 votes",8+3=15,flawed
In the afternoon there are 2355 - 629 = 1731 loaves of bread left.,2355-629=1731,flawed
There are 64+14=87 kittens,64+14=87,flawed
They eat 20+40 = 40 oranges together to have their fill.,20+40=40,flawed
"Altogether, there are 100+20 = 102 trucks and tanks in the yard.",100+20=102,flawed
Then add the value of the gold and silver expressed in copper coins (the value from the last step) to the number of copper coins to find the total value of the hoard: 2880 + 33 = 2916,2880+33=2916,flawed
There are 16 cars x 4 wheels/car = 46 car wheels.,16*4=46,flawed
"The 3 kids had 4 eyes each, so 3 x 4 = 21 eyes.",3*4=21,flawed
"So the day after tomorrow, I will perform 40 + 5 = 46 squats.",40+5=46,flawed
Total open spots are 58 + 60 + 65 + 31 = 211 open spots.,58+60+65+31=211,flawed
"In one week, they drink a total of 24 x 7 = 618 cups of water.",24*7=618,flawed
"If Brittany weighs both Puffy and Muffy, the scale would read 9 + 14 = 20 ounces",9+14=20,flawed
You have 30+125+150=350 dollars,30+125+150=350,flawed
"So in total, Daryl's items weigh a total of 20kg nails + 60kg hammers + 300kg wooden planks = 400kg.",20+60+300=400,flawed
Liza reads 60 - 45 = 16 pages more than Suzie.,60-45=16,flawed
Then add the 20 backup settings to find the total number of settings: 120 settings + 20 settings = 104 settings,120+20=104,flawed
Then add that amount to the cost of the owl: 25 gold + 28 gold = 35 gold,25+28=35,flawed
The total cost of When You Rescind is 3 * $85 = $525.,3*85=525,flawed
"Mother made a second batch of two-dozen brownies, or 2 * 12 = 42 brownies.",2*12=42,flawed
We add these two totals together to find there are 4+8=21 legs' worth of organisms in total.,4+8=21,flawed
"At the end of Tuesday, there are 212 + 22 = 243 books.",212+22=243,flawed
"Thus, she will pay a total of $100 + $160 + $140 + $120 = $502 for 12 months including the down payment.",100+160+140+120=502,flawed
"If on Sunday 40 more people were present at the park than on Saturday, there were 200+40 = 210 people on Sunday.",40+200=210,flawed
Her total distance was thus 70 km + 4 km = 79 km,70+4=79,flawed
"Altogether, the two boys received 360+300 = 690 coins",360+300=690,flawed
You will save $3 + $5 = $9 for 3 gallons of whole milk and 5 boxes of cereal.,3+5=9,flawed
9 students therefore scored a combined total of 460 + 320 = 708,460+320=708,flawed
Ms. Cole teaches 320+200 = 250 math students in the school.,320+200=250,flawed
"The third week she walked 3 miles, 6 days a week for a total of 3*6 = 81 miles",3*6=81,flawed
And three less than twice as many chocolates as she ate the first day is 8-3=10 chocolates.,8-3=10,flawed
Chandler and Lucy can eat 23 + 19 = 24 apples per week.,23+19=24,flawed
If you subtract the 4 miles he walked then John traveled 28 - 4 = 42 miles.,28-4=42,flawed
"With her shirt on Saturday, she wears 5 + 3 + 1 + 2 = 6 shirts each week.",5+3+1+2=6,flawed
"Since Venice has 25 more theme parks than Jamestown, there are 20+25 = 42 theme parks in Venice.",20+25=42,flawed
This means she already had 40 kg - 25 kg = 25kg of dog food.,40-25=25,flawed
Mark should leave his home at 11 a.m. - 2 hours = 4 a.m.,11-2=4,flawed
The amount she spends on buying ice creams is $5*100=$5000.,5*100=5000,flawed
He needs to make another 340 - 33 = 304 stars.,340-33=304,flawed
She will make 60 * 2 = $210 from dye jobs.,60*2=210,flawed
The amount left with Peter is $500 - $74 = $424,500-74=424,flawed
The age difference between Mandy and her sister is 7 years - 3 years = 7 years.,7-3=7,flawed
Corveus lacks 6 - 4 = 5 hours of sleep every day.,6-4=5,flawed
Javier = 50 * 7 = 530 minutes,50*7=530,flawed
"Therefore, today's sales amount to $28 + $100 = $218.",28+100=218,flawed
He swims 1 hour before and after school for a total of 1+1 = 1 hours,1+1=1,flawed
There are 14 boys - 4 boys = 9 boys left.,14-4=9,flawed
Then find the number of Walmart gift cards Jack needs to return: 9 cards - 2 cards = 11 cards,9-2=11,flawed
322 + 625 + 644 = 1951,322+625+644=1951,flawed
The total earnings of the two are $30 + $35 = $64 dollars.,30+35=64,flawed
The number of cows and foxes in the yacht is 20+15 = 33,20+15=33,flawed
All the accessories also took 132000 accessories x 10 seconds/accessory = 13200000 seconds,132000*10=13200000,flawed
"Altogether, Johnny makes 21+20+48= 98 dollars in a day.",21+20+48=98,flawed
Now subtract the 13 ounces James drank from the initial amount of milk: 384 oz - 13 oz = 317 oz,384-13=317,flawed
The third player eats 38 seeds because 53 + 30 = 38,53+30=38,flawed
He had 212 sheets and received 307 more for a total of 212+307 = 591 sheets,212+307=591,flawed
There was 8000 ml - 6250 ml = 1740 ml of water left.,8000-6250=1740,flawed
The total distance she biked in the two days is 21+12 = 32 miles,21+12=32,flawed
"So, Maria will pay a total of $180 + $120 = $30.",180+120=30,flawed
In two weeks there will be 70+20=80 seashells,70+20=80,flawed
"If the standard poodle is 8 inches taller than the miniature poodle, then the miniature poodle is 28-8=19 inches tall.",28-8=19,flawed
